attrition,business_travel,department,education,education_field,environment_satisfaction,gender,job_involvement,job_level,job_role,job_satisfaction,marital_status,over_time,relationship_satisfaction,stock_option_level,training_times_last_year,work_life_balance
Yes,Travel_Rarely,Sales,2,Life Sciences,2,Female,3,2,Sales Executive,4,Single,Yes,1,0,0,1
No,Travel_Frequently,Research & Development,1,Life Sciences,3,Male,2,2,Research Scientist,2,Married,No,4,1,3,3
Yes,Travel_Rarely,Research & Development,2,Other,4,Male,2,1,Laboratory Technician,3,Single,Yes,2,0,3,3
No,Travel_Frequently,Research & Development,4,Life Sciences,4,Female,3,1,Research Scientist,3,Married,Yes,3,0,3,3
No,Travel_Rarely,Research & Development,1,Medical,1,Male,3,1,Laboratory Technician,2,Married,No,4,1,3,3
No,Travel_Frequently,Research & Development,2,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,No,3,0,2,2
No,Travel_Rarely,Research & Development,3,Medical,3,Female,4,1,Laboratory Technician,1,Married,Yes,1,3,3,2
No,Travel_Rarely,Research & Development,1,Life Sciences,4,Male,3,1,Laboratory Technician,3,Divorced,No,2,1,2,3
No,Travel_Frequently,Research & Development,3,Life Sciences,4,Male,2,3,Manufacturing Director,3,Single,No,2,0,2,3
No,Travel_Rarely,Research & Development,3,Medical,3,Male,3,2,Healthcare Representative,3,Married,No,2,2,3,2
No,Travel_Rarely,Research & Development,3,Medical,1,Male,4,1,Laboratory Technician,2,Married,No,3,1,5,3
No,Travel_Rarely,Research & Development,2,Life Sciences,4,Female,2,2,Laboratory Technician,3,Single,Yes,4,0,3,3
No,Travel_Rarely,Research & Development,1,Life Sciences,1,Male,3,1,Research Scientist,3,Divorced,No,4,1,1,2
No,Travel_Rarely,Research & Development,2,Medical,2,Male,3,1,Laboratory Technician,4,Divorced,No,3,1,2,3
Yes,Travel_Rarely,Research & Development,3,Life Sciences,3,Male,2,1,Laboratory Technician,3,Single,Yes,2,0,4,3
No,Travel_Rarely,Research & Development,4,Life Sciences,2,Female,4,3,Manufacturing Director,1,Divorced,No,3,1,1,3
No,Travel_Rarely,Research & Development,2,Life Sciences,1,Male,4,1,Research Scientist,2,Divorced,Yes,4,2,5,2
